source,status,outcome,rc,elapsed_s,first_error
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t025_linalg_eig_svd.py,FAIL,transpile_fail,1,0.189734,"Transpile failed: unsupported call: Call(func=Attribute(value=Attribute(value=Name(id='np', ctx=Load()), attr='linalg', ctx=Load()), attr='eig', ctx=Load()), args=[Name(id='a', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t026_concatenate_stack.py,FAIL,transpile_fail,1,0.189768,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='concatenate', ctx=Load()), args=[List(elts=[Name(id='a', ctx=Load()), Name(id='b', ctx=Load())], ctx=Load())], keywords=[keyword(arg='axis', value=Constant(value=0))])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t027_hstack_vstack.py,FAIL,transpile_fail,1,0.236449,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='hstack', ctx=Load()), args=[List(elts=[Name(id='a', ctx=Load()), Name(id='b', ctx=Load())], ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t028_repeat_tile.py,FAIL,transpile_fail,1,0.204334,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='repeat', ctx=Load()), args=[Name(id='x', ctx=Load()), Constant(value=2)])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t029_pad_roll_flip.py,FAIL,transpile_fail,1,0.203286,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='pad', ctx=Load()), args=[Name(id='x', ctx=Load()), Tuple(elts=[Constant(value=2), Constant(value=3)], ctx=Load())], keywords=[keyword(arg='mode', value=Constant(value='constant')), keyword(arg='constant_values', value=Constant(value=0))])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t030_eye_diag_triu_tril.py,FAIL,transpile_fail,1,0.188988,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='diag', ctx=Load()), args=[Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='array', ctx=Load()), args=[List(elts=[Constant(value=1.0), Constant(value=2.0), Constant(value=3.0)], ctx=Load())])])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t031_meshgrid.py,FAIL,transpile_fail,1,0.205750,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='meshgrid', ctx=Load()), args=[Name(id='x', ctx=Load()), Name(id='y', ctx=Load())], keywords=[keyword(arg='indexing', value=Constant(value='xy'))])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t032_sort_argsort.py,FAIL,transpile_fail,1,0.188823,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='sort', ctx=Load()), args=[Name(id='x', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t033_unique_bincount.py,FAIL,transpile_fail,1,0.167461,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='unique', ctx=Load()), args=[Name(id='x', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t034_searchsorted.py,FAIL,transpile_fail,1,0.198274,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='searchsorted', ctx=Load()), args=[Name(id='x', ctx=Load()), Name(id='v', ctx=Load())], keywords=[keyword(arg='side', value=Constant(value='left'))])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t035_take_put_clip_inplace.py,FAIL,transpile_fail,1,0.184037,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='take', ctx=Load()), args=[Name(id='a', ctx=Load()), Name(id='idx', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t036_fancy_2d_indexing.py,FAIL,compile_fail,1,0.441849,Build: FAIL (exit 1)
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t037_rng_basic.py,FAIL,transpile_fail,1,0.203388,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='rng', ctx=Load()), attr='integers', ctx=Load()), args=[Constant(value=0), Constant(value=10)], keywords=[keyword(arg='size', value=Constant(value=8))])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t038_rng_shuffle_choice.py,FAIL,transpile_fail,1,0.221958,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='rng', ctx=Load()), attr='shuffle', ctx=Load()), args=[Name(id='x', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t039_loop_accumulate.py,PASS,pass,0,1.229829,
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t040_function_returns_array.py,FAIL,transpile_fail,1,0.207443,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='linspace', ctx=Load()), args=[UnaryOp(op=USub(), operand=Constant(value=2.0)), Constant(value=2.0), Constant(value=5)])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t041_nan_handling.py,FAIL,transpile_fail,1,0.196783,"Transpile failed: unsupported expression: Attribute(value=Name(id='np', ctx=Load()), attr='nan', ctx=Load())"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t042_astype_round_floor_ceil.py,FAIL,transpile_fail,1,0.210524,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='floor', ctx=Load()), args=[Name(id='x', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t043_broadcast_keepdims.py,FAIL,compile_fail,1,0.409396,Build: FAIL (exit 1)
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t044_reshape_order_F_C.py,FAIL,compile_fail,1,0.444655,Build: FAIL (exit 1)
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t045_ascontiguous_and_fortran_order_flags.py,FAIL,transpile_fail,1,0.201586,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='ascontiguousarray', ctx=Load()), args=[Name(id='b', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t046_reshape_view_mutation.py,FAIL,compile_fail,1,0.408771,Build: FAIL (exit 1)
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t047_broadcast_to.py,FAIL,transpile_fail,1,0.195223,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='broadcast_to', ctx=Load()), args=[Name(id='x', ctx=Load()), Tuple(elts=[Constant(value=4), Constant(value=3)], ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t048_reduce_at.py,FAIL,transpile_fail,1,0.191569,"Transpile failed: unsupported call: Call(func=Attribute(value=Attribute(value=Name(id='np', ctx=Load()), attr='add', ctx=Load()), attr='reduceat', ctx=Load()), args=[Name(id='x', ctx=Load()), Name(id='idx', ctx=Load())])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t049_histogram.py,FAIL,transpile_fail,1,0.212921,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='histogram', ctx=Load()), args=[Name(id='x', ctx=Load())], keywords=[keyword(arg='bins', value=List(elts=[Constant(value=0.0), Constant(value=1.0), Constant(value=2.0), Constant(value=3.0)], ctx=Load()))])"
c:\python\public_domain\github\Pure-Fortran-Examples\python_numpy_examples_1\t050_polyval_like.py,FAIL,transpile_fail,1,0.204550,"Transpile failed: unsupported call: Call(func=Attribute(value=Name(id='np', ctx=Load()), attr='linspace', ctx=Load()), args=[UnaryOp(op=USub(), operand=Constant(value=1.0)), Constant(value=1.0), Constant(value=5)])"
